Date,Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Total Renewable Energy Consumption,Primary Energy Net Exports,Total Primary Energy Consumption
31-01-1973,6.747651,0.068103,0.403981,0.125781,7.223873
28-02-1973,6.163095,0.064634,0.3609,0.120883,6.592366
31-03-1973,6.044647,0.072494,0.400161,0.13995,6.521439
30-04-1973,5.493184,0.06407,0.38047,0.194185,5.941729
31-05-1973,5.613551,0.062111,0.392141,0.196775,6.07194
30-06-1973,5.347479,0.073968,0.377232,0.178871,5.802683
31-07-1973,5.504556,0.07589,0.367325,0.164134,5.951909
31-08-1973,5.748879,0.084883,0.353757,0.191049,6.191657
30-09-1973,5.376782,0.085724,0.307006,0.146492,5.773515
31-10-1973,5.7653,0.081971,0.323453,0.207655,6.174862
30-11-1973,6.08844,0.088773,0.337817,0.183453,6.519033
31-12-1973,6.388515,0.087557,0.406694,0.183859,6.886904
31-01-1974,6.378043,0.084855,0.437467,0.121461,6.904043
28-02-1974,5.820458,0.090577,0.399942,0.164831,6.3143
31-03-1974,5.845649,0.097966,0.423474,0.132223,6.370767
30-04-1974,5.355618,0.079566,0.422323,0.186646,5.861066
31-05-1974,5.359907,0.073242,0.427657,0.217693,5.864485
30-06-1974,5.150392,0.079015,0.409281,0.225425,5.642248
31-07-1974,5.458003,0.113953,0.409719,0.200632,5.985353
31-08-1974,5.488069,0.137654,0.386101,0.19058,6.015502
30-09-1974,5.230848,0.12288,0.35391,0.169578,5.711198
31-10-1974,5.713389,0.121248,0.343703,0.246304,6.182018
30-11-1974,5.757535,0.122819,0.351633,0.225305,6.235546
31-12-1974,6.314029,0.148309,0.376642,0.122687,6.842659
31-01-1975,6.508066,0.153503,0.392756,0.162773,7.056118
28-02-1975,5.658866,0.140232,0.368278,0.171418,6.168996
31-03-1975,5.794307,0.163893,0.42349,0.199517,6.383482
30-04-1975,5.244039,0.146773,0.405368,0.208831,5.797914
31-05-1975,4.917011,0.15158,0.421283,0.234229,5.491667
30-06-1975,4.881923,0.140348,0.411622,0.215488,5.435627
31-07-1975,5.099561,0.169294,0.398459,0.172327,5.669107
31-08-1975,5.199413,0.174883,0.36823,0.203021,5.744318
30-09-1975,4.996158,0.158543,0.341957,0.168853,5.498393
31-10-1975,5.377048,0.161078,0.368786,0.16808,5.908704
30-11-1975,5.309492,0.155988,0.383196,0.238836,5.850411
31-12-1975,6.337521,0.183682,0.403696,0.179878,6.926691
31-01-1976,6.710216,0.177844,0.421775,0.133918,7.312324
29-02-1976,5.836128,0.158824,0.396173,0.130286,6.393452
31-03-1976,5.807521,0.15458,0.427044,0.148215,6.391633
30-04-1976,5.334664,0.121316,0.396931,0.203014,5.855319
31-05-1976,5.243322,0.131784,0.415728,0.193529,5.793322
30-06-1976,5.236508,0.174072,0.411555,0.222274,5.824544
31-07-1976,5.40514,0.195628,0.421425,0.1835,6.024682
31-08-1976,5.367256,0.202851,0.398129,0.164321,5.970726
30-09-1976,5.18912,0.191006,0.356984,0.197788,5.739519
31-10-1976,5.681201,0.191723,0.369186,0.200412,6.244598
30-11-1976,6.197897,0.178235,0.351386,0.214592,6.729925
31-12-1976,7.0619,0.233256,0.360834,0.179839,7.658479
31-01-1977,7.230327,0.238556,0.378521,0.100279,7.852451
28-02-1977,6.134899,0.211078,0.304328,0.127518,6.654863
31-03-1977,5.97723,0.222619,0.368966,0.136544,6.573861
30-04-1977,5.409177,0.213943,0.351301,0.195647,5.979305
31-05-1977,5.413653,0.221834,0.356923,0.210991,5.997456
