Date,Total Fossil Fuels Production,Nuclear Electric Power Production,Total Renewable Energy Production,Primary Energy Imports,Total Primary Energy Production
31-01-1973,4.932632,0.068103,0.403981,1.17308,5.404715
28-02-1973,4.729582,0.064634,0.3609,1.168005,5.155115
31-03-1973,4.946902,0.072494,0.400161,1.309473,5.419556
30-04-1973,4.716271,0.06407,0.38047,1.085169,5.160812
31-05-1973,4.956995,0.062111,0.392141,1.162804,5.411246
30-06-1973,4.716096,0.073968,0.377232,1.129614,5.167296
31-07-1973,4.748276,0.07589,0.367325,1.216246,5.191492
31-08-1973,5.041997,0.084883,0.353757,1.297848,5.480638
30-09-1973,4.731504,0.085724,0.307006,1.226145,5.124234
31-10-1973,4.998321,0.081971,0.323453,1.315774,5.403745
30-11-1973,4.810504,0.088773,0.337817,1.321809,5.237093
31-12-1973,4.880197,0.087557,0.406694,1.207179,5.374447
31-01-1974,4.961042,0.084855,0.437467,1.083235,5.483364
28-02-1974,4.569843,0.090577,0.399942,0.955624,5.060362
31-03-1974,4.881263,0.097966,0.423474,1.064548,5.402702
30-04-1974,4.775157,0.079566,0.422323,1.156477,5.277046
31-05-1974,4.966595,0.073242,0.427657,1.280713,5.467495
30-06-1974,4.557055,0.079015,0.409281,1.211565,5.045352
31-07-1974,4.716243,0.113953,0.409719,1.28033,5.239915
31-08-1974,4.736135,0.137654,0.386101,1.260397,5.259889
30-09-1974,4.614156,0.12288,0.35391,1.154422,5.090946
31-10-1974,4.900053,0.121248,0.343703,1.232624,5.365003
30-11-1974,4.181238,0.122819,0.351633,1.305091,4.65569
31-12-1974,4.435595,0.148309,0.376642,1.31925,4.960546
31-01-1975,4.731639,0.153503,0.392756,1.347568,5.277898
28-02-1975,4.381549,0.140232,0.368278,1.108542,4.890059
31-03-1975,4.643579,0.163893,0.42349,1.140333,5.230962
30-04-1975,4.533965,0.146773,0.405368,0.97805,5.086106
31-05-1975,4.644549,0.15158,0.421283,1.040395,5.217412
30-06-1975,4.553746,0.140348,0.411622,1.033375,5.105715
