Date,Total Fossil Fuels Production,Total Fossil Fuels Consumption,Nuclear Electric Power Production,Nuclear Electric Power Consumption,Total Renewable Energy Production,Total Renewable Energy Consumption,Primary Energy Imports,Primary Energy Net Imports,Primary Energy Net Exports,Total Primary Energy Production,Total Primary Energy Consumption,Primary Energy Stock Change and Other
31-01-1973,4.932632,6.747651,0.068103,0.068103,0.403981,0.403981,1.17308,1.047299,0.125781,5.404715,7.223873,0.771858
28-02-1973,4.729582,6.163095,0.064634,0.064634,0.3609,0.3609,1.168005,1.047122,0.120883,5.155115,6.592366,0.390129
31-03-1973,4.946902,6.044647,0.072494,0.072494,0.400161,0.400161,1.309473,1.169523,0.13995,5.419556,6.521439,-0.06764
30-04-1973,4.716271,5.493184,0.06407,0.06407,0.38047,0.38047,1.085169,0.890984,0.194185,5.160812,5.941729,-0.110067
31-05-1973,4.956995,5.613551,0.062111,0.062111,0.392141,0.392141,1.162804,0.966029,0.196775,5.411246,6.07194,-0.305335
30-06-1973,4.716096,5.347479,0.073968,0.073968,0.377232,0.377232,1.129614,0.950743,0.178871,5.167296,5.802683,-0.315356
31-07-1973,4.748276,5.504556,0.07589,0.07589,0.367325,0.367325,1.216246,1.052112,0.164134,5.191492,5.951909,-0.291695
31-08-1973,5.041997,5.748879,0.084883,0.084883,0.353757,0.353757,1.297848,1.106799,0.191049,5.480638,6.191657,-0.39578
30-09-1973,4.731504,5.376782,0.085724,0.085724,0.307006,0.307006,1.226145,1.079652,0.146492,5.124234,5.773515,-0.430371
31-10-1973,4.998321,5.7653,0.081971,0.081971,0.323453,0.323453,1.315774,1.108119,0.207655,5.403745,6.174862,-0.337003
30-11-1973,4.810504,6.08844,0.088773,0.088773,0.337817,0.337817,1.321809,1.138356,0.183453,5.237093,6.519033,0.143584
31-12-1973,4.880197,6.388515,0.087557,0.087557,0.406694,0.406694,1.207179,1.023319,0.183859,5.374447,6.886904,0.489137
31-01-1974,4.961042,6.378043,0.084855,0.084855,0.437467,0.437467,1.083235,0.961774,0.121461,5.483364,6.904043,0.458905
28-02-1974,4.569843,5.820458,0.090577,0.090577,0.399942,0.399942,0.955624,0.790793,0.164831,5.060362,6.3143,0.463145
31-03-1974,4.881263,5.845649,0.097966,0.097966,0.423474,0.423474,1.064548,0.932325,0.132223,5.402702,6.370767,0.035739
30-04-1974,4.775157,5.355618,0.079566,0.079566,0.422323,0.422323,1.156477,0.969831,0.186646,5.277046,5.861066,-0.38581
31-05-1974,4.966595,5.359907,0.073242,0.073242,0.427657,0.427657,1.280713,1.06302,0.217693,5.467495,5.864485,-0.66603
30-06-1974,4.557055,5.150392,0.079015,0.079015,0.409281,0.409281,1.211565,0.986139,0.225425,5.045352,5.642248,-0.389243
31-07-1974,4.716243,5.458003,0.113953,0.113953,0.409719,0.409719,1.28033,1.079698,0.200632,5.239915,5.985353,-0.334259
31-08-1974,4.736135,5.488069,0.137654,0.137654,0.386101,0.386101,1.260397,1.069817,0.19058,5.259889,6.015502,-0.314204
30-09-1974,4.614156,5.230848,0.12288,0.12288,0.35391,0.35391,1.154422,0.984844,0.169578,5.090946,5.711198,-0.364592
31-10-1974,4.900053,5.713389,0.121248,0.121248,0.343703,0.343703,1.232624,0.98632,0.246304,5.365003,6.182018,-0.169305
30-11-1974,4.181238,5.757535,0.122819,0.122819,0.351633,0.351633,1.305091,1.079786,0.225305,4.65569,6.235546,0.50007
31-12-1974,4.435595,6.314029,0.148309,0.148309,0.376642,0.376642,1.31925,1.196563,0.122687,4.960546,6.842659,0.68555
31-01-1975,4.731639,6.508066,0.153503,0.153503,0.392756,0.392756,1.347568,1.184795,0.162773,5.277898,7.056118,0.593424
28-02-1975,4.381549,5.658866,0.140232,0.140232,0.368278,0.368278,1.108542,0.937124,0.171418,4.890059,6.168996,0.341812
31-03-1975,4.643579,5.794307,0.163893,0.163893,0.42349,0.42349,1.140333,0.940816,0.199517,5.230962,6.383482,0.211704
30-04-1975,4.533965,5.244039,0.146773,0.146773,0.405368,0.405368,0.97805,0.76922,0.208831,5.086106,5.797914,-0.057411
31-05-1975,4.644549,4.917011,0.15158,0.15158,0.421283,0.421283,1.040395,0.806166,0.234229,5.217412,5.491667,-0.531911
30-06-1975,4.553746,4.881923,0.140348,0.140348,0.411622,0.411622,1.033375,0.817887,0.215488,5.105715,5.435627,-0.487975
